,x,y,z,field,total_count
1581,366,752,17,43,3919
1582,326,792,17,43,3686
1583,930,805,17,43,3008
1584,310,826,17,43,2189
1585,952,873,17,43,1819
1586,389,881,17,43,3552
1587,65,20,18,43,677
1588,164,333,18,43,2049
1589,376,402,18,43,2717
1590,598,434,18,43,6102
1591,812,490,18,43,2980
1592,324,574,18,43,4736
1593,596,657,18,43,2808
1594,725,678,18,43,4119
1595,914,688,18,43,2894
1596,669,774,18,43,2745
1597,194,786,18,43,1380
1598,588,990,18,43,1713
1599,498,216,19,43,5505
1600,701,425,19,43,3837
1601,364,518,19,43,4332
1602,484,708,19,43,3675
1603,628,716,19,43,2504
1604,586,749,19,43,2247
1605,454,912,19,43,3150
1606,608,922,19,43,3141
1607,806,945,19,43,1969
1608,874,960,19,43,996
1609,341,125,20,43,2893
1610,812,784,20,43,3934
1611,624,833,20,43,3832
1612,650,468,21,43,5801
1613,764,481,21,43,3609
1614,768,550,21,43,2963
1615,698,741,21,43,4518
1616,728,821,21,43,2026
1617,389,46,22,43,1942
1618,306,50,22,43,1703
1619,116,406,22,43,1016
1620,606,482,22,43,3370
1621,722,593,22,43,8429
1622,448,836,22,43,1915
1623,870,868,22,43,1788
1624,335,8,23,43,817
1625,709,462,23,43,3990
1626,816,602,23,43,1815
1627,660,710,23,43,4967
1628,764,865,23,43,2298
1629,642,598,24,43,3618
1630,770,450,25,43,4201
1631,852,570,25,43,5177
1632,693,660,25,43,4969
1633,91,450,26,43,707
1634,937,705,26,43,1458
1635,824,864,26,43,2811
1636,717,518,27,43,2573
1637,629,894,27,43,1661
1638,461,234,28,43,827
